国名,ISO2,ISO3,地域,193カ国内順位,WGI_政治安定性パーセンタイル_2024,治安・政治リスク分類,固定現金イベント_USD,主要産業,投資ルーレット,投資期待変化率_参考,備考
アンゴラ,AO,AGO,アフリカ,140,56.1,中間,-2000,石油・ガス産業,1-5:+40%;6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アンチグア・バーブーダ,AG,ATG,アメリカ,24,84.2,安定,4000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アンドラ,AD,AND,ヨーロッパ,2,92.3,安定,9000,観光業,1-2:+70%;3-7:0%;8-10:-30%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
イエメン,YE,YEM,アジア,193,18.9,不安定,-10000,農業・食品産業,1-3:+70%;4-6:0%;7-10:-40%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
イギリス,GB,GBR,ヨーロッパ,80,70.3,中間,1000,金融・専門サービス業,1-3:+30%;4-7:0%;8-10:-20%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
イスラエル,IL,ISR,アジア,165,48.2,不安定,-4000,ソフトウェア・ITサービス,1-3:+70%;4-6:0%;7-10:-40%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
イタリア,IT,ITA,ヨーロッパ,77,71.2,中間,1000,製造業,1-2:+40%;3-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
イラク,IQ,IRQ,アジア,186,30.6,不安定,-6000,石油・ガス産業,1-3:+70%;4:0%;5-10:-40%,-3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
イラン,IR,IRN,アジア,174,38.9,不安定,-5000,石油・ガス産業,1-4:+70%;5:0%;6-10:-40%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
インド,IN,IND,アジア,155,52.5,中間,-3000,ソフトウェア・ITサービス,1-5:+30%;6-7:0%;8-10:-20%,9.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
インドネシア,ID,IDN,アジア,141,55.5,中間,-2000,資源・製造業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ウガンダ,UG,UGA,アフリカ,164,48.4,不安定,-4000,農業・食品産業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ウクライナ,UA,UKR,ヨーロッパ,129,58.5,中間,-1000,農業・食品産業,1-4:+60%;5:0%;6-10:-40%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ウズベキスタン,UZ,UZB,アジア,97,65.4,中間,0,金・繊維産業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ウルグアイ,UY,URY,アメリカ,7,87.7,安定,7000,農業・畜産業,1-5:+20%;6-8:0%;9-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
エクアドル,EC,ECU,アメリカ,151,53.6,中間,-3000,エネルギー産業,1-3:+70%;4-5:0%;6-10:-40%,1.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
エジプト,EG,EGY,アフリカ,162,49.2,中間,-3000,観光業,1-4:+60%;5-6:0%;7-10:-40%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
エストニア,EE,EST,ヨーロッパ,49,77.8,中間,2000,ソフトウェア・ITサービス,1-3:+50%;4-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
エスワティニ,SZ,SWZ,アフリカ,153,53.4,中間,-3000,砂糖・農産物産業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
エチオピア,ET,ETH,アフリカ,180,33.7,不安定,-5000,農業・食品産業,1-5:+50%;6:0%;7-10:-40%,9.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
エリトリア,ER,ERI,アフリカ,149,53.8,中間,-3000,鉱業,1-4:+60%;5:0%;6-10:-40%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
エルサルバドル,SV,SLV,アメリカ,93,66.0,中間,0,繊維・アパレル産業,1-3:+30%;4-8:0%;9-10:-20%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
オマーン,OM,OMN,アジア,53,76.6,中間,2000,石油・ガス産業,1-3:+60%;4-6:0%;7-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
オランダ,NL,NLD,ヨーロッパ,69,73.2,中間,1000,港湾・物流業,1-2:+20%;3-9:0%;10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
オーストラリア,AU,AUS,オセアニア,40,79.4,中間,3000,資源・鉱業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
オーストリア,AT,AUT,ヨーロッパ,64,74.3,中間,2000,機械・精密工業,1:+50%;2-8:0%;9-10:-20%,1.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
カザフスタン,KZ,KAZ,アジア,120,61.1,中間,-1000,エネルギー産業,1-5:+40%;6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
カタール,QA,QAT,アジア,33,82.1,中間,3000,天然ガス産業,1-4:+50%;5-6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
カナダ,CA,CAN,アメリカ,56,76.1,中間,2000,資源・鉱業,1-2:+70%;3-6:0%;7-10:-30%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
カメルーン,CM,CMR,アフリカ,173,39.3,不安定,-4000,農業・食品産業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
カンボジア,KH,KHM,アジア,86,68.1,中間,0,繊維・アパレル産業,1-5:+30%;6-8:0%;9-10:-20%,11.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
カーボベルデ,CV,CPV,アフリカ,44,79.0,中間,3000,観光業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ガイアナ,GY,GUY,アメリカ,82,69.6,中間,1000,石油・ガス産業,1-5:+60%;6:0%;7-10:-40%,14.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ガボン,GA,GAB,アフリカ,119,61.2,中間,-1000,林業・木材産業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ガンビア,GM,GMB,アフリカ,96,65.6,中間,0,農業・食品産業,1-2:+40%;3-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ガーナ,GH,GHA,アフリカ,92,66.1,中間,0,金・鉱業,1-6:+30%;7-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
キプロス,CY,CYP,ヨーロッパ,71,72.5,中間,1000,観光・金融業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
キューバ,CU,CUB,アメリカ,76,71.3,中間,1000,観光業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
キリバス,KI,KIR,オセアニア,14,87.0,安定,5000,水産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
キルギスタン,KG,KGZ,アジア,134,57.3,中間,-2000,鉱業,1-6:+40%;7-10:-30%,12.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ギニア,GN,GIN,アフリカ,166,48.2,不安定,-4000,ボーキサイト・鉱業,1-5:+60%;6-10:-40%,10.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ギニアビサウ,GW,GNB,アフリカ,144,55.3,中間,-2000,農業・食品産業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ギリシャ,GR,GRC,ヨーロッパ,85,68.3,中間,1000,観光業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
クウェート,KW,KWT,アジア,78,70.9,中間,1000,石油・ガス産業,1-3:+50%;4-6:0%;7-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
クロアチア,HR,HRV,ヨーロッパ,58,75.8,中間,2000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
グアテマラ,GT,GTM,アメリカ,110,62.3,中間,-1000,農業・食品産業,1-2:+40%;3-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
グレナダ,GD,GRD,アメリカ,19,86.4,安定,5000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ケニア,KE,KEN,アフリカ,168,42.7,不安定,-4000,農業・食品産業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
コスタリカ,CR,CRI,アメリカ,20,86.0,安定,5000,観光・医療機器産業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
コモロ,KM,COM,アフリカ,111,62.1,中間,-1000,農業・食品産業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
コロンビア,CO,COL,アメリカ,161,49.3,中間,-3000,コーヒー・農産物産業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
コンゴ共和国,CG,COG,アフリカ,115,61.5,中間,-1000,石油・ガス産業,1-3:+60%;4-6:0%;7-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
コンゴ民主共和国,CD,COD,アフリカ,188,29.7,不安定,-7000,コバルト・鉱業,1-5:+70%;6-10:-50%,10.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
コートジボワール,CI,CIV,アフリカ,157,51.5,中間,-3000,農業・食品産業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
サウジアラビア,SA,SAU,アジア,99,65.1,中間,0,石油・ガス産業,1-4:+50%;5-6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
サモア,WS,WSM,オセアニア,13,87.0,安定,5000,水産業,1-5:+20%;6-8:0%;9-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
サントメ・プリンシペ,ST,STP,アフリカ,65,74.2,中間,1000,農業・食品産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
サンマリノ,SM,SMR,ヨーロッパ,5,89.3,安定,7000,観光・金融業,1-3:+50%;4-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ザンビア,ZM,ZMB,アフリカ,104,64.2,中間,0,銅鉱業,1-5:+40%;6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
シエラレオネ,SL,SLE,アフリカ,131,58.2,中間,-2000,鉱業,1-5:+40%;6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
シリア,SY,SYR,アジア,191,25.4,不安定,-8000,農業・食品産業,1-3:+70%;4-6:0%;7-10:-40%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
シンガポール,SG,SGP,アジア,16,86.9,安定,5000,物流・海運業,1-4:+20%;5-8:0%;9-10:-10%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ジブチ,DJ,DJI,アフリカ,137,56.4,中間,-2000,港湾・物流業,1-5:+20%;6-9:0%;10:-20%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ジャマイカ,JM,JAM,アメリカ,67,74.0,中間,1000,観光業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ジョージア,GE,GEO,アジア,142,55.4,中間,-2000,農業・ワイン産業,1-5:+20%;6-8:0%;9-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ジンバブエ,ZW,ZWE,アフリカ,163,48.5,不安定,-4000,金・鉱業,1-5:+60%;6-10:-40%,10.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スイス,CH,CHE,ヨーロッパ,30,82.6,安定,4000,機械・精密工業,1-3:+20%;4-8:0%;9-10:-10%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スウェーデン,SE,SWE,ヨーロッパ,55,76.2,中間,2000,機械・精密工業,1:+60%;2-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スペイン,ES,ESP,ヨーロッパ,95,65.8,中間,0,航空・観光サービス業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スリナム,SR,SUR,アメリカ,66,74.1,中間,1000,鉱業,1-4:+40%;5-6:0%;7-10:-30%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スリランカ,LK,LKA,アジア,123,59.9,中間,-1000,繊維・アパレル産業,1-5:+30%;6-8:0%;9-10:-20%,11.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スロバキア,SK,SVK,ヨーロッパ,52,76.7,中間,2000,自動車産業,1-3:+30%;4-8:0%;9-10:-20%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スロベニア,SI,SVN,ヨーロッパ,47,78.2,中間,2000,製造業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
スーダン,SD,SDN,アフリカ,184,31.3,不安定,-6000,農業・食品産業,1-2:+70%;3-6:0%;7-10:-40%,-2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
セイシェル,SC,SYC,アフリカ,35,81.5,中間,3000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
セネガル,SN,SEN,アフリカ,113,62.0,中間,-1000,港湾・物流業,1-4:+20%;5-9:0%;10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
セルビア,RS,SRB,ヨーロッパ,108,63.0,中間,0,製造業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
セントクリストファー・ネイビス,KN,KNA,アメリカ,36,81.5,中間,3000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
セントビンセント及びグレナディーン諸島,VC,VCT,アメリカ,28,83.6,安定,4000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
セントルシア,LC,LCA,アメリカ,27,83.6,安定,4000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ソマリア,SO,SOM,アフリカ,190,27.2,不安定,-8000,農業・食品産業,1-4:+60%;5-6:0%;7-10:-40%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ソロモン諸島,SB,SLB,オセアニア,46,78.7,中間,3000,林業・木材産業,1-3:+40%;4-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
タイ,TH,THA,アジア,147,54.2,中間,-2000,自動車産業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
タジキスタン,TJ,TJK,アジア,117,61.2,中間,-1000,水力・電力産業,1-5:+20%;6-9:0%;10:-20%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
タンザニア,TZ,TZA,アフリカ,126,59.2,中間,-1000,観光業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
チェコ,CZ,CZE,ヨーロッパ,31,82.5,安定,4000,自動車産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
チャド,TD,TCD,アフリカ,178,35.5,不安定,-5000,石油・ガス産業,1-5:+60%;6-10:-40%,10.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
チュニジア,TN,TUN,アフリカ,159,50.1,中間,-3000,製造業,1-2:+60%;3-7:0%;8-10:-30%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
チリ,CL,CHL,アメリカ,89,68.0,中間,0,銅鉱業,1-5:+40%;6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ツバル,TV,TUV,オセアニア,4,91.0,安定,8000,水産業,1-4:+20%;5-8:0%;9-10:-20%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
デンマーク,DK,DNK,ヨーロッパ,45,79.0,中間,3000,医薬・ライフサイエンス産業,1-5:+20%;6-9:0%;10:-20%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
トリニダード・トバゴ,TT,TTO,アメリカ,73,72.0,中間,1000,エネルギー産業,1-4:+40%;5-6:0%;7-10:-30%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
トルクメニスタン,TM,TKM,アジア,81,70.1,中間,1000,天然ガス産業,1-5:+40%;6:0%;7-10:-30%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
トルコ,TR,TUR,アジア,160,49.3,中間,-3000,航空・観光サービス業,1-4:+50%;5-6:0%;7-10:-40%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
トンガ,TO,TON,オセアニア,10,87.3,安定,6000,水産業,1-2:+30%;3-8:0%;9-10:-20%,2.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
トーゴ,TG,TGO,アフリカ,156,52.1,中間,-3000,港湾・物流業,1-5:+30%;6-8:0%;9-10:-30%,9.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
ドイツ,DE,DEU,ヨーロッパ,87,68.0,中間,0,自動車・機械産業,1-2:+30%;3-7:0%;8-10:-10%,3.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
